Commit_Number,Unique_CWE_Count,Unique_CWEs
1,10,https://cwe.mitre.org/data/definitions/22.html; https://cwe.mitre.org/data/definitions/78.html; https://cwe.mitre.org/data/definitions/703.html; https://cwe.mitre.org/data/definitions/89.html; https://cwe.mitre.org/data/definitions/502.html; https://cwe.mitre.org/data/definitions/605.html; https://cwe.mitre.org/data/definitions/377.html; https://cwe.mitre.org/data/definitions/330.html; https://cwe.mitre.org/data/definitions/259.html; https://cwe.mitre.org/data/definitions/327.html
2,10,https://cwe.mitre.org/data/definitions/22.html; https://cwe.mitre.org/data/definitions/78.html; https://cwe.mitre.org/data/definitions/703.html; https://cwe.mitre.org/data/definitions/89.html; https://cwe.mitre.org/data/definitions/502.html; https://cwe.mitre.org/data/definitions/605.html; https://cwe.mitre.org/data/definitions/377.html; https://cwe.mitre.org/data/definitions/330.html; https://cwe.mitre.org/data/definitions/259.html; https://cwe.mitre.org/data/definitions/327.html
3,10,https://cwe.mitre.org/data/definitions/22.html; https://cwe.mitre.org/data/definitions/78.html; https://cwe.mitre.org/data/definitions/703.html; https://cwe.mitre.org/data/definitions/89.html; https://cwe.mitre.org/data/definitions/502.html; https://cwe.mitre.org/data/definitions/605.html; https://cwe.mitre.org/data/definitions/377.html; https://cwe.mitre.org/data/definitions/330.html; https://cwe.mitre.org/data/definitions/259.html; https://cwe.mitre.org/data/definitions/327.html
4,10,https://cwe.mitre.org/data/definitions/22.html; https://cwe.mitre.org/data/definitions/78.html; https://cwe.mitre.org/data/definitions/703.html; https://cwe.mitre.org/data/definitions/89.html; https://cwe.mitre.org/data/definitions/502.html; https://cwe.mitre.org/data/definitions/605.html; https://cwe.mitre.org/data/definitions/377.html; https://cwe.mitre.org/data/definitions/330.html; https://cwe.mitre.org/data/definitions/259.html; https://cwe.mitre.org/data/definitions/327.html
5,10,https://cwe.mitre.org/data/definitions/22.html; https://cwe.mitre.org/data/definitions/78.html; https://cwe.mitre.org/data/definitions/703.html; https://cwe.mitre.org/data/definitions/89.html; https://cwe.mitre.org/data/definitions/502.html; https://cwe.mitre.org/data/definitions/605.html; https://cwe.mitre.org/data/definitions/377.html; https://cwe.mitre.org/data/definitions/330.html; https://cwe.mitre.org/data/definitions/259.html; https://cwe.mitre.org/data/definitions/327.html
6,10,https://cwe.mitre.org/data/definitions/22.html; https://cwe.mitre.org/data/definitions/78.html; https://cwe.mitre.org/data/definitions/703.html; https://cwe.mitre.org/data/definitions/89.html; https://cwe.mitre.org/data/definitions/502.html; https://cwe.mitre.org/data/definitions/605.html; https://cwe.mitre.org/data/definitions/377.html; https://cwe.mitre.org/data/definitions/330.html; https://cwe.mitre.org/data/definitions/259.html; https://cwe.mitre.org/data/definitions/327.html
7,10,https://cwe.mitre.org/data/definitions/22.html; https://cwe.mitre.org/data/definitions/78.html; https://cwe.mitre.org/data/definitions/703.html; https://cwe.mitre.org/data/definitions/89.html; https://cwe.mitre.org/data/definitions/502.html; https://cwe.mitre.org/data/definitions/605.html; https://cwe.mitre.org/data/definitions/377.html; https://cwe.mitre.org/data/definitions/330.html; https://cwe.mitre.org/data/definitions/259.html; https://cwe.mitre.org/data/definitions/327.html
8,10,https://cwe.mitre.org/data/definitions/22.html; https://cwe.mitre.org/data/definitions/78.html; https://cwe.mitre.org/data/definitions/703.html; https://cwe.mitre.org/data/definitions/89.html; https://cwe.mitre.org/data/definitions/502.html; https://cwe.mitre.org/data/definitions/605.html; https://cwe.mitre.org/data/definitions/377.html; https://cwe.mitre.org/data/definitions/330.html; https://cwe.mitre.org/data/definitions/259.html; https://cwe.mitre.org/data/definitions/327.html
9,10,https://cwe.mitre.org/data/definitions/22.html; https://cwe.mitre.org/data/definitions/78.html; https://cwe.mitre.org/data/definitions/703.html; https://cwe.mitre.org/data/definitions/89.html; https://cwe.mitre.org/data/definitions/502.html; https://cwe.mitre.org/data/definitions/605.html; https://cwe.mitre.org/data/definitions/377.html; https://cwe.mitre.org/data/definitions/330.html; https://cwe.mitre.org/data/definitions/259.html; https://cwe.mitre.org/data/definitions/327.html
10,10,https://cwe.mitre.org/data/definitions/22.html; https://cwe.mitre.org/data/definitions/78.html; https://cwe.mitre.org/data/definitions/703.html; https://cwe.mitre.org/data/definitions/89.html; https://cwe.mitre.org/data/definitions/502.html; https://cwe.mitre.org/data/definitions/605.html; https://cwe.mitre.org/data/definitions/377.html; https://cwe.mitre.org/data/definitions/330.html; https://cwe.mitre.org/data/definitions/259.html; https://cwe.mitre.org/data/definitions/327.html
11,10,https://cwe.mitre.org/data/definitions/22.html; https://cwe.mitre.org/data/definitions/78.html; https://cwe.mitre.org/data/definitions/703.html; https://cwe.mitre.org/data/definitions/89.html; https://cwe.mitre.org/data/definitions/502.html; https://cwe.mitre.org/data/definitions/605.html; https://cwe.mitre.org/data/definitions/377.html; https://cwe.mitre.org/data/definitions/330.html; https://cwe.mitre.org/data/definitions/259.html; https://cwe.mitre.org/data/definitions/327.html
