CWE,Total_Count
https://cwe.mitre.org/data/definitions/703.html,357043
https://cwe.mitre.org/data/definitions/502.html,8448
https://cwe.mitre.org/data/definitions/78.html,4264
https://cwe.mitre.org/data/definitions/330.html,3817
https://cwe.mitre.org/data/definitions/22.html,2994
https://cwe.mitre.org/data/definitions/259.html,2441
https://cwe.mitre.org/data/definitions/89.html,1056
https://cwe.mitre.org/data/definitions/605.html,556
https://cwe.mitre.org/data/definitions/327.html,478
https://cwe.mitre.org/data/definitions/400.html,304
https://cwe.mitre.org/data/definitions/20.html,240
https://cwe.mitre.org/data/definitions/377.html,234
https://cwe.mitre.org/data/definitions/295.html,100
