filename,test_name,test_id,issue_severity,issue_confidence,issue_cwe,issue_text,line_number,col_offset,end_col_offset,line_range,more_info
./.github/langchain-tests/setup_actions.py,blacklist,B404,LOW,HIGH,https://cwe.mitre.org/data/definitions/78.html,Consider possible security implications associated with the subprocess module.,2,0,17,[2],https://bandit.readthedocs.io/en/1.8.3/blacklists/blacklist_imports.html#b404-import-subprocess
./.github/langchain-tests/setup_actions.py,subprocess_without_shell_equals_true,B603,LOW,HIGH,https://cwe.mitre.org/data/definitions/78.html,subprocess call - check for execution of untrusted input.,13,8,43,[13],https://bandit.readthedocs.io/en/1.8.3/plugins/b603_subprocess_without_shell_equals_true.html
./.github/langchain-tests/setup_actions.py,try_except_pass,B110,LOW,HIGH,https://cwe.mitre.org/data/definitions/703.html,"Try, Except, Pass detected.",36,0,8,"[36, 37]",https://bandit.readthedocs.io/en/1.8.3/plugins/b110_try_except_pass.html
./.github/langchain-tests/setup_actions.py,try_except_pass,B110,LOW,HIGH,https://cwe.mitre.org/data/definitions/703.html,"Try, Except, Pass detected.",42,0,8,"[42, 43]",https://bandit.readthedocs.io/en/1.8.3/plugins/b110_try_except_pass.html
./.github/langchain-tests/test_activeloop_code_analysis.py,try_except_pass,B110,LOW,HIGH,https://cwe.mitre.org/data/definitions/703.html,"Try, Except, Pass detected.",26,16,24,"[26, 27]",https://bandit.readthedocs.io/en/1.8.3/plugins/b110_try_except_pass.html
./.github/langchain-tests/test_activeloop_deeplake.py,blacklist,B311,LOW,HIGH,https://cwe.mitre.org/data/definitions/330.html,Standard pseudo-random generators are not suitable for security/cryptographic purposes.,43,29,55,[43],https://bandit.readthedocs.io/en/1.8.3/blacklists/blacklist_calls.html#b311-random
./.github/langchain-tests/test_activeloop_semanitic_search.py,assert_used,B101,LOW,HIGH,https://cwe.mitre.org/data/definitions/703.html,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,94,4,52,[94],https://bandit.readthedocs.io/en/1.8.3/plugins/b101_assert_used.html
./.github/langchain-tests/test_activeloop_twitter.py,try_except_pass,B110,LOW,HIGH,https://cwe.mitre.org/data/definitions/703.html,"Try, Except, Pass detected.",24,12,20,"[24, 25]",https://bandit.readthedocs.io/en/1.8.3/plugins/b110_try_except_pass.html
./.github/langchain-tests/test_code_analysis_deeplake.py,try_except_pass,B110,LOW,HIGH,https://cwe.mitre.org/data/definitions/703.html,"Try, Except, Pass detected.",26,16,24,"[26, 27]",https://bandit.readthedocs.io/en/1.8.3/plugins/b110_try_except_pass.html
./.github/langchain-tests/test_semanitic_search.py,assert_used,B101,LOW,HIGH,https://cwe.mitre.org/data/definitions/703.html,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,94,4,52,[94],https://bandit.readthedocs.io/en/1.8.3/plugins/b101_assert_used.html
./.github/langchain-tests/test_twitter.py,try_except_pass,B110,LOW,HIGH,https://cwe.mitre.org/data/definitions/703.html,"Try, Except, Pass detected.",24,12,20,"[24, 25]",https://bandit.readthedocs.io/en/1.8.3/plugins/b110_try_except_pass.html
./deeplake/__init__.py,try_except_pass,B110,LOW,HIGH,https://cwe.mitre.org/data/definitions/703.html,"Try, Except, Pass detected.",109,8,16,"[109, 110]",https://bandit.readthedocs.io/en/1.8.3/plugins/b110_try_except_pass.html
./deeplake/api/dataset.py,assert_used,B101,LOW,HIGH,https://cwe.mitre.org/data/definitions/703.html,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,1459,12,24,[1459],https://bandit.readthedocs.io/en/1.8.3/plugins/b101_assert_used.html
./deeplake/api/dataset.py,hardcoded_password_default,B107,LOW,MEDIUM,https://cwe.mitre.org/data/definitions/259.html,Possible hardcoded password: '',2174,4,70,"[2174, 2175, 2176, 2177]",https://bandit.readthedocs.io/en/1.8.3/plugins/b107_hardcoded_password_default.html
./deeplake/api/tests/test_access_method.py,hardcoded_tmp_directory,B108,MEDIUM,MEDIUM,https://cwe.mitre.org/data/definitions/377.html,Probable insecure usage of temp file/directory.,9,11,27,[9],https://bandit.readthedocs.io/en/1.8.3/plugins/b108_hardcoded_tmp_directory.html
./deeplake/api/tests/test_access_method.py,assert_used,B101,LOW,HIGH,https://cwe.mitre.org/data/definitions/703.html,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,11,4,5,"[11, 12, 13, 14]",https://bandit.readthedocs.io/en/1.8.3/plugins/b101_assert_used.html
./deeplake/api/tests/test_access_method.py,hardcoded_tmp_directory,B108,MEDIUM,MEDIUM,https://cwe.mitre.org/data/definitions/377.html,Probable insecure usage of temp file/directory.,13,11,53,"[12, 13]",https://bandit.readthedocs.io/en/1.8.3/plugins/b108_hardcoded_tmp_directory.html
./deeplake/api/tests/test_access_method.py,assert_used,B101,LOW,HIGH,https://cwe.mitre.org/data/definitions/703.html,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,18,4,73,[18],https://bandit.readthedocs.io/en/1.8.3/plugins/b101_assert_used.html
./deeplake/api/tests/test_access_method.py,assert_used,B101,LOW,HIGH,https://cwe.mitre.org/data/definitions/703.html,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,19,4,84,[19],https://bandit.readthedocs.io/en/1.8.3/plugins/b101_assert_used.html
./deeplake/api/tests/test_access_method.py,assert_used,B101,LOW,HIGH,https://cwe.mitre.org/data/definitions/703.html,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,20,4,75,[20],https://bandit.readthedocs.io/en/1.8.3/plugins/b101_assert_used.html
./deeplake/api/tests/test_access_method.py,assert_used,B101,LOW,HIGH,https://cwe.mitre.org/data/definitions/703.html,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,21,4,86,[21],https://bandit.readthedocs.io/en/1.8.3/plugins/b101_assert_used.html
./deeplake/api/tests/test_access_method.py,assert_used,B101,LOW,HIGH,https://cwe.mitre.org/data/definitions/703.html,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,22,4,86,[22],https://bandit.readthedocs.io/en/1.8.3/plugins/b101_assert_used.html
./deeplake/api/tests/test_access_method.py,assert_used,B101,LOW,HIGH,https://cwe.mitre.org/data/definitions/703.html,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,23,4,67,[23],https://bandit.readthedocs.io/en/1.8.3/plugins/b101_assert_used.html
./deeplake/api/tests/test_access_method.py,assert_used,B101,LOW,HIGH,https://cwe.mitre.org/data/definitions/703.html,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,24,4,78,[24],https://bandit.readthedocs.io/en/1.8.3/plugins/b101_assert_used.html
./deeplake/api/tests/test_access_method.py,assert_used,B101,LOW,HIGH,https://cwe.mitre.org/data/definitions/703.html,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,25,4,69,[25],https://bandit.readthedocs.io/en/1.8.3/plugins/b101_assert_used.html
./deeplake/api/tests/test_access_method.py,assert_used,B101,LOW,HIGH,https://cwe.mitre.org/data/definitions/703.html,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,26,4,80,[26],https://bandit.readthedocs.io/en/1.8.3/plugins/b101_assert_used.html
./deeplake/api/tests/test_access_method.py,assert_used,B101,LOW,HIGH,https://cwe.mitre.org/data/definitions/703.html,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,27,4,80,[27],https://bandit.readthedocs.io/en/1.8.3/plugins/b101_assert_used.html
./deeplake/api/tests/test_access_method.py,assert_used,B101,LOW,HIGH,https://cwe.mitre.org/data/definitions/703.html,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,55,4,42,[55],https://bandit.readthedocs.io/en/1.8.3/plugins/b101_assert_used.html
./deeplake/api/tests/test_access_method.py,assert_used,B101,LOW,HIGH,https://cwe.mitre.org/data/definitions/703.html,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,57,8,35,[57],https://bandit.readthedocs.io/en/1.8.3/plugins/b101_assert_used.html
./deeplake/api/tests/test_access_method.py,assert_used,B101,LOW,HIGH,https://cwe.mitre.org/data/definitions/703.html,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,63,4,42,[63],https://bandit.readthedocs.io/en/1.8.3/plugins/b101_assert_used.html
./deeplake/api/tests/test_access_method.py,assert_used,B101,LOW,HIGH,https://cwe.mitre.org/data/definitions/703.html,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,64,4,26,[64],https://bandit.readthedocs.io/en/1.8.3/plugins/b101_assert_used.html
./deeplake/api/tests/test_access_method.py,assert_used,B101,LOW,HIGH,https://cwe.mitre.org/data/definitions/703.html,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,67,4,26,[67],https://bandit.readthedocs.io/en/1.8.3/plugins/b101_assert_used.html
./deeplake/api/tests/test_access_method.py,assert_used,B101,LOW,HIGH,https://cwe.mitre.org/data/definitions/703.html,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,69,8,35,[69],https://bandit.readthedocs.io/en/1.8.3/plugins/b101_assert_used.html
./deeplake/api/tests/test_access_method.py,assert_used,B101,LOW,HIGH,https://cwe.mitre.org/data/definitions/703.html,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,107,4,43,[107],https://bandit.readthedocs.io/en/1.8.3/plugins/b101_assert_used.html
./deeplake/api/tests/test_access_method.py,assert_used,B101,LOW,HIGH,https://cwe.mitre.org/data/definitions/703.html,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,108,4,45,[108],https://bandit.readthedocs.io/en/1.8.3/plugins/b101_assert_used.html
./deeplake/api/tests/test_access_method.py,assert_used,B101,LOW,HIGH,https://cwe.mitre.org/data/definitions/703.html,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,115,4,37,[115],https://bandit.readthedocs.io/en/1.8.3/plugins/b101_assert_used.html
./deeplake/api/tests/test_access_method.py,assert_used,B101,LOW,HIGH,https://cwe.mitre.org/data/definitions/703.html,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,116,4,45,[116],https://bandit.readthedocs.io/en/1.8.3/plugins/b101_assert_used.html
./deeplake/api/tests/test_api.py,blacklist,B403,LOW,HIGH,https://cwe.mitre.org/data/definitions/502.html,Consider possible security implications associated with pickle module.,58,0,13,[58],https://bandit.readthedocs.io/en/1.8.3/blacklists/blacklist_imports.html#b403-import-pickle
./deeplake/api/tests/test_api.py,assert_used,B101,LOW,HIGH,https://cwe.mitre.org/data/definitions/703.html,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,83,4,27,[83],https://bandit.readthedocs.io/en/1.8.3/plugins/b101_assert_used.html
./deeplake/api/tests/test_api.py,assert_used,B101,LOW,HIGH,https://cwe.mitre.org/data/definitions/703.html,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,85,4,49,[85],https://bandit.readthedocs.io/en/1.8.3/plugins/b101_assert_used.html
./deeplake/api/tests/test_api.py,assert_used,B101,LOW,HIGH,https://cwe.mitre.org/data/definitions/703.html,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,88,4,54,[88],https://bandit.readthedocs.io/en/1.8.3/plugins/b101_assert_used.html
./deeplake/api/tests/test_api.py,assert_used,B101,LOW,HIGH,https://cwe.mitre.org/data/definitions/703.html,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,95,4,24,[95],https://bandit.readthedocs.io/en/1.8.3/plugins/b101_assert_used.html
./deeplake/api/tests/test_api.py,assert_used,B101,LOW,HIGH,https://cwe.mitre.org/data/definitions/703.html,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,105,4,5,"[105, 106, 107, 108, 109, 110, 111, 112, 113, 114]",https://bandit.readthedocs.io/en/1.8.3/plugins/b101_assert_used.html
./deeplake/api/tests/test_api.py,assert_used,B101,LOW,HIGH,https://cwe.mitre.org/data/definitions/703.html,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,123,8,31,[123],https://bandit.readthedocs.io/en/1.8.3/plugins/b101_assert_used.html
