Commit,High Confidence,Medium Confidence,Low Confidence
1,429,2,1
2,432,2,1
3,417,2,1
4,417,2,1
5,432,2,1
6,417,2,1
7,432,2,1
8,417,2,1
9,413,2,1
10,413,2,1
11,432,2,1
12,429,2,1
13,432,2,1
14,432,2,1
15,417,2,1
16,418,2,1
17,432,2,1
18,417,2,1
19,417,2,1
20,432,2,1
21,413,2,1
22,429,2,1
23,413,2,1
24,418,2,1
25,413,2,1
26,413,2,1
27,427,2,1
28,417,2,1
29,413,2,1
30,432,2,1
31,417,2,1
32,417,2,1
33,432,2,1
34,417,2,1
35,432,2,1
36,432,2,1
37,432,2,1
38,417,2,1
39,432,2,1
40,417,2,1
41,417,2,1
42,432,2,1
43,432,2,1
44,432,2,1
45,417,2,1
46,432,2,1
47,432,2,1
48,427,2,1
49,417,2,1
50,432,2,1
51,414,2,1
52,417,2,1
53,432,2,1
54,413,2,1
55,417,2,1
56,432,2,1
57,432,2,1
58,417,2,1
59,417,2,1
60,432,2,1
61,417,2,1
62,432,2,1
63,432,2,1
64,417,2,1
65,417,2,1
66,432,2,1
67,432,2,1
68,414,2,1
69,432,2,1
70,417,2,1
71,413,2,1
72,417,2,1
73,413,2,1
74,427,2,1
75,432,2,1
76,413,2,1
77,417,2,1
78,417,2,1
79,427,2,1
80,419,2,1
81,413,2,1
82,432,2,1
83,429,2,1
84,417,2,1
85,432,2,1
86,432,2,1
87,413,2,1
88,417,2,1
89,414,2,1
90,417,2,1
91,417,2,1
92,432,2,1
93,418,2,1
94,417,2,1
95,427,2,1
96,417,2,1
97,432,2,1
98,418,2,1
99,417,2,1
100,418,2,1
