Commit,High Severity,Medium Severity,Low Severity
1,0,1,431
2,0,1,434
3,0,1,419
4,0,1,419
5,0,1,434
6,0,1,419
7,0,1,434
8,0,1,419
9,0,1,415
10,0,1,415
11,0,1,434
12,0,1,431
13,0,1,434
14,0,1,434
15,0,1,419
16,0,1,420
17,0,1,434
18,0,1,419
19,0,1,419
20,0,1,434
21,0,1,415
22,0,1,431
23,0,1,415
24,0,1,420
25,0,1,415
26,0,1,415
27,0,1,429
28,0,1,419
29,0,1,415
30,0,1,434
31,0,1,419
32,0,1,419
33,0,1,434
34,0,1,419
35,0,1,434
36,0,1,434
37,0,1,434
38,0,1,419
39,0,1,434
40,0,1,419
41,0,1,419
42,0,1,434
43,0,1,434
44,0,1,434
45,0,1,419
46,0,1,434
47,0,1,434
48,0,1,429
49,0,1,419
50,0,1,434
51,0,1,416
52,0,1,419
53,0,1,434
54,0,1,415
55,0,1,419
56,0,1,434
57,0,1,434
58,0,1,419
59,0,1,419
60,0,1,434
61,0,1,419
62,0,1,434
63,0,1,434
64,0,1,419
65,0,1,419
66,0,1,434
67,0,1,434
68,0,1,416
69,0,1,434
70,0,1,419
71,0,1,415
72,0,1,419
73,0,1,415
74,0,1,429
75,0,1,434
76,0,1,415
77,0,1,419
78,0,1,419
79,0,1,429
80,0,1,421
81,0,1,415
82,0,1,434
83,0,1,431
84,0,1,419
85,0,1,434
86,0,1,434
87,0,1,415
88,0,1,419
89,0,1,416
90,0,1,419
91,0,1,419
92,0,1,434
93,0,1,420
94,0,1,419
95,0,1,429
96,0,1,419
97,0,1,434
98,0,1,420
99,0,1,419
100,0,1,420
