Commit,High Confidence,Medium Confidence,Low Confidence
1,3183,31,4
2,3115,31,4
3,3183,31,4
4,3187,31,4
5,3187,31,4
6,3183,31,4
7,3187,31,4
8,3183,31,4
9,3115,31,4
10,3183,31,4
11,3187,31,4
12,33,1,1
13,3187,31,4
14,3182,31,4
15,3182,31,4
16,11,0,0
17,33,1,1
18,3183,31,4
19,51,1,2
20,3187,31,4
21,3115,31,4
22,3173,31,4
23,11,0,0
24,3187,31,4
25,3187,31,4
26,3115,31,4
27,33,1,1
28,3183,31,4
29,3187,31,4
30,3187,31,4
31,3115,31,4
32,11,0,1
33,3187,31,4
34,3115,31,4
35,3187,31,4
36,11,0,1
37,3115,31,4
38,3187,31,4
39,3187,31,4
40,3182,31,4
41,3187,31,4
42,3173,31,4
43,3115,31,4
44,3187,31,4
45,3187,31,4
46,3183,31,4
47,3187,31,4
48,3115,31,4
49,3187,31,4
50,11,0,1
51,3187,31,4
52,11,0,1
53,3187,31,4
54,3115,33,4
55,3187,31,4
56,3115,31,4
57,3183,31,4
58,33,1,1
59,3115,33,4
60,11,0,1
61,3187,31,4
62,3183,31,4
63,3187,31,4
64,3187,31,4
65,3187,31,4
66,3183,31,4
67,11,0,1
68,3187,31,4
69,3182,31,4
70,11,0,1
71,3115,31,4
72,51,1,2
73,3187,31,4
74,3182,31,4
75,11,0,1
76,3115,31,4
77,11,0,1
78,3115,31,4
79,3187,31,4
80,3173,31,4
81,33,1,1
82,3187,31,4
83,11,0,1
84,11,0,0
85,3115,31,4
86,3182,31,4
87,3187,31,4
88,3187,31,4
89,3187,31,4
90,3187,31,4
91,3115,31,4
92,3183,31,4
93,3182,31,4
94,51,1,2
95,3115,31,4
96,3187,31,4
97,51,1,2
98,3183,31,4
99,3183,31,4
100,3187,31,4
