CWE,Total_Count
https://cwe.mitre.org/data/definitions/703.html,242901
https://cwe.mitre.org/data/definitions/502.html,2748
https://cwe.mitre.org/data/definitions/259.html,2041
https://cwe.mitre.org/data/definitions/78.html,824
https://cwe.mitre.org/data/definitions/330.html,724
https://cwe.mitre.org/data/definitions/22.html,394
https://cwe.mitre.org/data/definitions/89.html,331
https://cwe.mitre.org/data/definitions/377.html,234
https://cwe.mitre.org/data/definitions/605.html,156
https://cwe.mitre.org/data/definitions/327.html,78
https://cwe.mitre.org/data/definitions/400.html,4
