Commit,High Severity,Medium Severity,Low Severity
1,3,36,3179
2,3,36,3111
3,3,36,3179
4,3,36,3183
5,3,36,3183
6,3,36,3179
7,3,36,3183
8,3,36,3179
9,3,36,3111
10,3,36,3179
11,3,36,3183
12,0,2,33
13,3,36,3183
14,3,36,3178
15,3,36,3178
16,0,0,11
17,0,2,33
18,3,36,3179
19,0,4,50
20,3,36,3183
21,3,36,3111
22,3,36,3169
23,0,0,11
24,3,36,3183
25,3,36,3183
26,3,36,3111
27,0,2,33
28,3,36,3179
29,3,36,3183
30,3,36,3183
31,3,36,3111
32,0,1,11
33,3,36,3183
34,3,36,3111
35,3,36,3183
36,0,1,11
37,3,36,3111
38,3,36,3183
39,3,36,3183
40,3,36,3178
41,3,36,3183
42,3,36,3169
43,3,36,3111
44,3,36,3183
45,3,36,3183
46,3,36,3179
47,3,36,3183
48,3,36,3111
49,3,36,3183
50,0,1,11
51,3,36,3183
52,0,1,11
53,3,36,3183
54,3,36,3113
55,3,36,3183
56,3,36,3111
57,3,36,3179
58,0,2,33
59,3,36,3113
60,0,1,11
61,3,36,3183
62,3,36,3179
63,3,36,3183
64,3,36,3183
65,3,36,3183
66,3,36,3179
67,0,1,11
68,3,36,3183
69,3,36,3178
70,0,1,11
71,3,36,3111
72,0,4,50
73,3,36,3183
74,3,36,3178
75,0,1,11
76,3,36,3111
77,0,1,11
78,3,36,3111
79,3,36,3183
80,3,36,3169
81,0,2,33
82,3,36,3183
83,0,1,11
84,0,0,11
85,3,36,3111
86,3,36,3178
87,3,36,3183
88,3,36,3183
89,3,36,3183
90,3,36,3183
91,3,36,3111
92,3,36,3179
93,3,36,3178
94,0,4,50
95,3,36,3111
96,3,36,3183
97,0,4,50
98,3,36,3179
99,3,36,3179
100,3,36,3183
