Commit,High Confidence,Medium Confidence,Low Confidence
1,869,6,9
2,865,6,9
3,878,6,10
4,874,6,9
5,865,6,9
6,865,6,9
7,878,6,10
8,865,6,9
9,874,6,9
10,865,6,9
11,865,6,9
12,873,6,9
13,865,6,9
14,878,6,10
15,873,6,9
16,898,6,10
17,865,6,9
18,873,6,9
19,869,6,9
20,865,6,9
21,899,6,10
22,878,6,10
23,865,6,9
24,869,6,9
25,874,6,9
26,869,6,9
27,899,6,10
28,869,6,9
29,869,6,9
30,865,6,9
31,865,6,9
32,873,6,9
33,865,6,9
34,865,6,9
35,873,6,9
36,865,6,9
37,865,6,9
38,873,6,9
39,899,6,10
40,899,6,10
41,898,6,10
42,873,6,9
43,874,6,9
44,898,6,10
45,878,6,10
46,869,6,9
47,874,6,9
48,898,6,10
49,899,6,10
50,865,6,9
51,869,6,9
52,874,6,9
53,874,6,9
54,865,6,9
55,865,6,9
56,865,6,9
57,865,6,9
58,873,6,9
59,865,6,9
60,869,6,9
61,869,6,9
62,869,6,9
63,865,6,9
64,898,6,10
65,865,6,9
66,873,6,9
67,873,6,9
68,865,6,9
69,869,6,9
70,869,6,9
71,865,6,9
72,865,6,9
73,865,6,9
74,898,6,10
75,865,6,9
76,869,6,9
77,865,6,9
78,869,6,9
79,869,6,9
80,878,6,10
81,899,6,10
82,874,6,9
83,899,6,10
84,865,6,9
85,899,6,10
86,869,6,9
87,899,6,10
88,898,6,10
89,865,6,9
90,869,6,9
91,869,6,9
92,878,6,10
93,899,6,10
94,865,6,9
95,869,6,9
96,865,6,9
97,874,6,9
98,874,6,9
99,899,6,10
100,865,6,9
